Palavra,Eshemplos,Espanyol,English,Turkish,Origen,id,Portuguese,French
káma,"La kama es una buena koza,
si no se durme se arrepoza. (Neh.)",cama,"bed, bedding","yatak, döşek",Jeneral,2487,,
kánte,Sintimos muchos kantes en djudeo-espanyol.,cante,"singing, popular song","şarkı, türkü",Jeneral,2488,,
kánto,Estas palavras me sonan komo un kanto.,canto,"chant, song","şarkı, dinî ezgi",Jeneral,2489,,
kára,"El mal i el bien en la kara se ven. (Neh.)
Kara de riza.
Kosta los ojos de la kara.","cara, rostro, semblante, faz","face, side","surat, yüz",Jeneral,2490,,
"kasteyáno, kastilyáno",El Kasteyano es madre de la lingua muestra.,Castellano,Castilian,"Ispanyol, Kastilyalı, Ispanyolca",Jeneral,2491,,
"kavé, kafé",Veniya a vijitarmos kada tadre a tomar el kafe kon la mama.,café,"coffee, café","kahve, kahvehane",Jeneral,2492,,
ke,Ke bueno ke avlo!,"que, qué","who, which, what","kim, hangi, ne",Jeneral,2493,,
"keilá, kehilá, kal",Dezazer una keila para tomar un klavo. (Neh.),sinagoga,synagogue,"havra, sinagog",Jeneral,2494,,
kol,Entre kol i kol lechuga.,"col, repollo",cabbage,lahana,Jeneral,2495,,
kóla,"Lo ke le dishe, lo tomo por la kola.",cola,"tail, end, queue","kuyruk, sıra",Jeneral,2496,,
komentário,Meldimos kon muncha atension e interes los komentarios echos por muestros amigos.,comentario,"comments, remarks, commentary","açıklama, yorum",Jeneral,2498,,
"komunidád, komunitá",La komunidad de 900 Judios de Salonika supo organizar un kongreso.,comunidad,community,"cemaattopluluk, toplum",Jeneral,2499,,
"Konferénsia, konferensya (f)",Mis konferensias son siempre en ladino.,conferencia,conference,konferans,Jeneral,2500,,
handrájo (m),La ijika jdugava kon una kukla de handrajo.,andrajo,rag,"bez, paçavra",Jeneral,2791,,
kostúmbre,"Muestra erensia kultural, ke es la lingua, kultura, uzos i kostumbres...",costumbre,"custom, habit","örf, âdet, töre, anane, alışkanlık",Jeneral,2502,,
"kristiáno, kristiána",...djudias fueron salvadas por amigos kristianos.,"cristiano, cristiana",christian,hıristiyan,Jeneral,2503,,
"kuál, kuála",Kual es tu ijo?,cual,which,"hangi, hangisi",Jeneral,2504,,
kuánto,Kuanto me das por ir i venir?,cuanto,how much,ne kadar,Jeneral,2508,,
"kuántos, kuántas",Muera Shimshon kon kuantos son.,"cuantos, cuantas","how many, all those","kaç tane, hepsi",Jeneral,2509,,
kulturál,Konservaron aspektos kulturales del Djudaismo.,cultural,cultural,kültürel,Jeneral,2510,,
"kulá, kulé",Teniya 4-5 anyos i biviya serka de la Kula de Galata.,torre,tower,kule,Estanbol,2511,,
kúrso,Gloria Ascher la va emplear en su kurso de kultura sefaradi.,curso,course,kurs,Jeneral,2512,,
kusúr (m),No deshes kusures en el chini.,resto,"rest, remainder, leftover","kalan, artık, kusur",Estanbol,2513,,
la,Mirala.,la,"the, she, her","belirten (the), o (dişi)",Jeneral,2515,,
lashón,Dizir las kozas en lashon i ladino. (Neh.),"lenguaje, lengua","language, tongue","lisan, dil",Jeneral,2516,,
lavóro,Es un lavoro echo kon intelijensia i amor.,trabajo,"work, job","emek, iş",Jeneral,2517,,
le,Le gustava kontar anekdotas tipikas sefardis.,le,"him, to him, to her, to it",ona,Jeneral,2518,,
ley (f),La ley es para todos.,ley,"law, rule","kanun, kural",Jeneral,2519,lei,loi
lísta,Los miembros de esta lista ya estan viendo komo lo eskrivimos.,lista,list,liste,Jeneral,2520,,
literatúra,Diriji un kurso de lingua i literatura djudeo-espanyola.,literatura,literature,edebiyat,Jeneral,2521,,
lo,"Lo ke va ser para uno, ke sea para todos.",lo,"that, which, it, him","olan, o",Jeneral,2522,,
lúna,Esta briyando komo la luna en kinze.,luna,moon,ay,Jeneral,2523,,
lúnes,Kada lunes moz ivamoz al BAZAR.,lunes,Monday,Pazartesi,Jeneral,2524,,
ma,"Yo el dezeo ya lo tengo, ma no tengo ayinda la kapachita teknika.","pero, mas",but,"ama, fakat",Jeneral,2525,,
mádre,Mi madre i mi padre nasieron en Izmir.,madre,mother,"anne, ana",Jeneral,2526,,
malgrádo,Se metio en kamino malgrado el negro tiempo.,aunque,"although, though",rağmen,Estanbol,2527,,
"málo, mála",Mas vale un malo konosido ke un bueno para konoser. (Neh.),"malo, mala","bad, naughty","kötü, yaramaz",Jeneral,2528,,
mandár,Pasensia ke te mande el Dio. (Neh.),mandar,send,göndermek,Jeneral,2529,,
"mánko, mánka",A lo manko va ver a tu madre una vez a la semana.,menos,less,"eksik, daha az, noksan",Jeneral,2530,,
marído,Marido selozo no tiene repozo. (Neh.),marido,husband,"koca, eş",Jeneral,2531,,
mása,"Para azer boyikos, kale finyir muncho la masa.",masa,dough,hamur,Jeneral,2532,,
máyo,Esto sera el Alhad 5 de Mayo a las 3.,mayo,May,Mayıs,Jeneral,2533,,
me,Me miró.,me,"me, to me, myself","beni, bana",Jeneral,2534,,
média,Es sekreto ke ya lo save la media sivdad.,media,half,"yarım, orta",Jeneral,2535,,
ménos (adv.),"Ya save el Inglez, mas o menos.",menos,mimus,eksi,Jeneral,2536,,
mersí,Mersi muncho por tus esfuersos.,gracias,thanks,teşekkür,Estanbol,2538,,
mi,El era mi ermano adoptado.,"mi, mí","my, me","benim, ben",Jeneral,2539,,
minístro,Me demando sovre el ministro de la edukasion.,ministro,minister,"bakan, vekil",Jeneral,2540,,
minúto,Se desha 10 minutos en el orno.,minuto,minute,dakika,Jeneral,2541,,
minúto,Se desha 10 minutos en el orno.,minuto,minute,dakika,Jeneral,2542,,
"modérno, modérna",No toman parte en la vida moderna.,"moderno, moderna",modern,modern,Jeneral,2543,,
mas,"Mas tiene, mas kere.",más,more,daha çok,Jeneral,2544,,
"mío, míyo, mía, míya","Lo miyo miyo, i lo tuyo miyo.","mio, mia","mine, my",benim,Jeneral,2545,,
lódo,No es un ombre - es lodo kon kanyo.,lodo,mud,çamur,Jeneral,2546,,
mos (pron.),Mos disho...,nos,"us, to us, ourselves","bizi, bize",Jeneral,2548,,
"muzéo, muséo","Komo dize H.-V. Sephiha, somos un muzeo bivo.",museo,museum,müze,Jeneral,2549,,
norte (m),"Los ""pasharos de inviero"" se van al Norte por la sezon.",norte,north,"kuzey, şimal",Jeneral,2551,,
número (m),El muevo numero de la revista AKI YERUSHALAYIM mos yego.,número,"number, item, turn","numara, rakkam, sıra",Jeneral,2552,,
o,Me vienen mesajes en Inglez o en espanyol.,o,"or, either... or","veya, yahut",Jeneral,2553,,
pínya (adj.),El kezo está pinya.,salado (demasiado),too salty,şap gibi (fazla tuzlu),Jeneral,2789,,
"oktúbre, októbre (m)",Vo estar en New York en Oktubre para prezentar una charla i un konsierto.,octubre,October,Ekim,Jeneral,2555,,
organizasión (f),"So muy aktiva en muestra organizasion, Sephardi Federation.",organización,organization,"teşkilat, kurum",Jeneral,2556,,
"oriénte, oryénte (m)","Los sefardim de oriente avlan djudeo-espanyol, ladino, djudezmo.",oriente,"east, orient",doğu,Jeneral,2557,,
"oríjen, orijín (f)",Esta es la orijin de la teoriya.,origen,"origin, source","menşe, kaynak",Jeneral,2558,,
"ortografía, ortografíya (f)",... kon la ortografia rekomendada por AKI YERUSHALAYIM.,ortografía,spelling,"imlâ, yazım",Jeneral,2560,,
otél (m),El abasho a un chiko otel.,hotel,hotel,otel,Jeneral,2561,,
otománo (m+adj.),El Ladino se formo en el Imperio Otomano.,otomano,Ottoman,Osmanlı,Jeneral,2562,,
pádres (m/pl),En tiempo de muestros padres...,padres,parents,ebeveyn,Jeneral,2563,,
pálma (f),"Eskrito esta en la palma, lo ke va yevar la alma.",palma,palm,avuç içi,Jeneral,2564,,
pálmas (f/pl),Dar palmas.,aplauso,applause,alkış,Jeneral,2565,,
"pariéntes, paryentes (m/pl)",Mis parientes en Estambol no komiyan arroz en Pesah.,"parientes, padres","parents, relatives","ebeveyn, akrabalar",Jeneral,2566,,
páso (m),Yo ize el primer paso.,paso,"step, pace",adım,Jeneral,2567,,
patrón (m),A la gayinika del patron no se dize kish.,patrón,"master, boss","patron, sahip",Jeneral,2568,,
paz (f),Ke el Dio de paz en los reynados.,paz,peace,barış,Jeneral,2569,,
pérla (f),Kita perlas de la boka.,perla,pearl,inci,Jeneral,2570,,
péro (konj.),Dubrovnik no es mas en Yugoslavia - pero en KROATIA.,pero,but,"fakat, lâkin, ama",Jeneral,2571,,
poéma (m),Son liberos de meter en muzika los poemas de este livro.,poema,poem,şiir,Jeneral,2573,,
poéta (m+f),Enkuentro de poetas ke eskriven en Ladino.,poeta,poet,şair,Jeneral,2574,,
polítika (f),Esto nesesita una aksion politika.,política,politics,politika,Jeneral,2575,,
pregúnta (f),Estava en kudiado: Mando a su ijo por una pregunta.,pregunta,question,soru,Jeneral,2576,,
"preguntón (m), preguntóna (f)",Buen pregunton!,"preguntón, preguntona",inquisitive,"çok soru soran, meraklı",Jeneral,2578,,
"prezidénte, presidénte (m+f)",Fue nominado presidente de la Asosiasion.,presidente,president,"başkan, cumhurbaşkanı",Jeneral,2579,,
"primér, priméra (adj.)",El primer mez del anyo.,"primer, primera","first, foremost, primary","birinci, ilk, ilk önce",Jeneral,2580,,
probléma (m),Para el ke amostra su amistad nunka ay problema.,problema,problem,problem,Jeneral,2581,,
puéde ser,Todo puede ser.,"quizá, tal vez, puede que",perhaps,"belki, muhtemelen",Jeneral,2582,,
rabíno (m),"El imam, el papaz i los dos rabinos ya se eskriviyan.",rabino,rabbi,haham,Aki Yerushalayim,2583,,
rakí (m),El raki arrebive al peshe.,anisete turco,Turkish anisette,rakı,Estanbol,2584,,
Rav (m),El Sinyor Rav: El Gran Rabino.,Rabino (Gran),Rabbi (Chief),Hahambaşı,Jeneral,2585,,
razón (f),La razon diferensia al ombre de las bestias. (Neh.),razón,"reason, right, justice","sebep, hak, us, mantık",Jeneral,2586,,
reál (adj.),Korte real.,real,royal,kral ile ilgili,Jeneral,2587,,
reál (adj.),Esto avlando de un dezeo real kon un programa.,real,"real, genuine","gerçek, hakiki",Jeneral,2588,,
realidád (f),Esto no troka la realidad.,realidad,"reality, truth","gerçek, hakikat",Jeneral,2589,,
rekódro (m),Meldi kon grande plazer las konsejas i rekodros de tantos amigos.,recuerdo,"memory, recollection","hatıra, anı",Jeneral,2590,,
rekuérdo (m),Trushimos komo rekuerdo una lampara.,recuerdo,"memory, recollection","hatıra, anı, yadigâr",Jeneral,2591,,
résto (m),No tomes la pena de bushkar el resto de la kantika.,resto,"rest, remainder, leftover","kalan, artık, kusur",Jeneral,2593,,
"rezúmen, resúmen, resumé (m)","...en forma de ""resumen"" (todos los mesajes del diya en uno).",resumen,"summary, résumé",özet,Jeneral,2594,,
románsa (f),Estas ermozas kantigas i romansas ke yevamos en el korason.,"romance, balada","romance, ballad","balad, geleneksel öykü",Jeneral,2596,,
romanséro (m),El Romansero Sefaradi dize: ...,romancero,collection of ballads,balad koleksiyonu,Jeneral,2597,,
roz (adj.),Vestiya una bluza roz.,rosado,pink,pembe,Estanbol,2598,rosa,rose (couleur)
róza (f),No ay roza sin espino.,rosa,rose,gül,Jeneral,2599,,
sal (f),Mantenerse de pan kon sal. (Neh.),sal,salt,tuz,Jeneral,2600,,
salúdes (f/pl),Trusho saludes de los amigos.,recuerdos,regards,selâm (söylemek),Jeneral,2601, lembranças,compliments (passer des)
salúdo (m),Korto el saludo.,saludo,greeting,selâm (vermek),Jeneral,2602,saudação,salutation
"saludózo (m), saludóza (f)",Le demandi un emprestimo i me refuzo; saludozo m'esté!,"sano, saludable",healthy,"sıhhatli, sağlıklı",Jeneral,2603,são,"sain, en bonne santé"
sálvo (adj.),"Salio sano i salvo del aksidente.
Lavora kada diya, salvo el Shabat.",salvo,"safe, saved; except, save","saği salim, hariç, maada",Jeneral,2604,,
San,"San Jorge, San Juan.",San,Saint,Aziz,Jeneral,2605,,
"sánto, sánta (adj.)",Azerse del santo.,"santo, santa","saint, holy","aziz, kutsal, mukaddes",Jeneral,2606,,
se (pron.),El Ladino se formo en el Imperio Otomano. ,"se, sé","himself, herself, it","o, kendi",Jeneral,2607,,
"sefarád, sefaradí (adj.)",Va aver un konserto de muzika Sefarad.,sefardí,sephardic,sefarat,Jeneral,2608,,
"sefaradím, sefardím (pl)",Esto seguro ke algunos de estos Sefaradim saven meldar.,sefardies,sephardic (pl),sefaratlar,Jeneral,2609,,
"senyór, sinyór (m)",No mo se vaya este senyor i mos venga otro peor. (Neh.),"señor, caballero","master, gentleman, lord","beyefendi, efendi",Jeneral,2610,,
séra (f),Las bizbas produsen la sera.,cera,wax,balmumu,Jeneral,2611,,
shalóm (m),Shalóm! - Berahá ve Tová!,"saludo, salutación","salute, greetings",selâm,Jeneral,2612,,
sharópe (m),Es un sharope de ombre. (Neh.),"jarabe, confitura","syrup, jam","şurup, tatlı",Jeneral,2613,,
shoá (f),El sujeto de los sefaradim en la Shoa es muy poko konosido.,holocausto,holocaust,soykırım,Jeneral,2614,,
si (konj.),Si kere el Dio....,"si, sí","yes, if, himself, herself, it","evet, eğer, kendi",Jeneral,2615,,
"siémpre, syémpre (adv.)",La razon es siempre diferente. ,siempre,always,daima,Jeneral,2616,,
"simán, sinyál (m)","Ke sea de buen siman.
No dar sinyal de vida.","señal, indicio","signal, indication, mark","belirti, işaret",Jeneral,2617,,
sinagóga (f),"Aki en kaza i en la sinagoga, konto tus poemas.",sinagoga,synagogue,"sinagog, havra",Jeneral,2618,,
"senyóra, sinyóra (f)",La sinyora maestra.,señora,"lady, mistress, owner","hanımefendi, hanım",Jeneral,2619,,
"sonído, sonéte (m)",Abasho reprezentamos los sonidos del alfabeto.,sonido,"sound, noise",ses,Jeneral,2620,som,son
su (adj.),Es su bien.,su,"his, hers, its, one's",onun,Jeneral,2621,,
"sud, sur (m)",Amanesimos kon un dia enuvlado en el sud de la Florida.,sur,south,"güney, cenup",Jeneral,2622,,
"sultán (m), sultána (f)",,"sultán, sultana",sultan,"padişah, sultan,",Aki Yerushalayim,2623,,
"sultán (m), sultána (f)","El Sultan teniya munchos savios, doktores, avokatos djudios.","sultán, sultana",sultan,"padişah, sultan, hanım sultan",Jeneral,2624,,
tal (adj.),"Tal padre, tal ijo; tal arvol, tal fruto; tal nombre, tal ombre.",tal,such,öyle,Jeneral,2625,,
adá (f),"En Estanbol, ivamos a la Ada a pasar la enveranada.",isla,island,ada,Estanbol,2788,ilha,île
"tánto, tánta (adv.)",Tanto me vino afuerte ke me saltaron las lagrimas.,"tanto, tanta","so much, so many",o kadar,Jeneral,2627,,
kanyamázo (m),Las metiya en un kanyamazo limpio.,trapo,"rag, cloth",bez,Estanbol,2787,,"chiffon, torchon"
adjektívo (m),"La verdad i la sinseridad son los dos adjektivos ke resumen mi boletin.
",adjetivo,adjective,sıfat,Jeneral,2629,,
tan (adv.),Es tan grande ke no kave por la puerta.,tan,so,"o kadar, o derece",Jeneral,2631,,
te (pron.),"Yo te lo digo, tu ke lo sepas.",te,"you, to you, yourself","seni, sana",Jeneral,2632,,
telefon (m),Fue un plazer para mi avlar kon eya por telefon.,teléfono,telephone,telefon,Jeneral,2633,,
tema (m),Este tema es sujeto de mis lavoros i estudios.,tema,"theme, subject","konu, mevzu",Jeneral,2634,,
"títolo, título (m)",Eskojimos el titulo Vidas Largas porke es ladino.,título,title,"başlık, unvan",Jeneral,2635,,
Torá (f),"Agora yo meldo la Tora en ladino, tambien.",Torá,Torah,Dinî Yasa Kitabı,Jeneral,2636,,
"tradisión, tradisyón (f)",Entre los djudios de Izmir ay una tradision ke es unika en el mundo entero.,tradición,tradition,"gelenek, anane",Jeneral,2637,,
"traduksión, traduksyón (f)","Te avizo ke sin la muzika, la traduksion vale poko.",traducción,translation,tercüme,Jeneral,2638,,
"turkáno, turkána (adj.)","Solo los sefaradim turkanos van a konoser esta palavra ""alikobeni""!",de Turquía,of Turkish origin,Türkiyeli,Jeneral,2639,,
un (adj.),Tiene un ijo solo: un ijo regalado.,un,one,bir,Jeneral,2640,,
úzo (m),"Empesó a azerlo por reir, avagar avagar se le izo uzo.",uso,"use, usage, custom","âdet, alışkanlık, örf",Jeneral,2641,,
valór (f),Es koza de valor.,valor,"value, worth",kıymet,Jeneral,2642,,
viérnes (m),"Oy es viernes, pitikas kayentes.",viernes,Friday,cuma,Jeneral,2645,,
víno (m),Buen vino no kere pregonero. (Neh.),vino,wine,şarap,Jeneral,2646,,
vísta (f),Lo konosko solo de vista.,vista,"view, sight","manzara, görüş",Jeneral,2647,,
vitál (adj.),,vital,vital,hayatî,Jeneral,2648,,
vos (pron.),A todos vozotros vos enkorajo de abonarvos.,os,"you, to you, to yourselves","siz, size, kendinize",Jeneral,2649,,
"vuestro, vuestra (adj.+ pron.)",Mandá kuentos i konsejas ke oyitesh en vuestra chikez en djudeo-espanyol.,"vuestro, vuestra","your, yours",sizin,Jeneral,2650,,
"yaurtchí, yaurchí (m)",,vendedor de yogurt,yogurt pedlar,yoğurtçu,Jeneral,2652,,
"yíddish, yídish (m)",Empeso kon una kantika en Yiddish.,lengua de los judios askenazis,yiddish,yidiş,Jeneral,2653,,
yo (pron.),"Ke se yo?
Sino yo para mi, ken para mi?",yo,I,ben,Jeneral,2654,,
chiní (m),"En la meza aviya chinis de fruta seka.

",plato,plate,tabak,Estanbol,2655,,
ayúdo (m),"Para el mentirozo, un sarnudo es un ayudo. (Neh.)",ayuda,"help, assistance","yardım, imdat",Jeneral,2657,,
"sarnúdo, estornúdo (m)","Para el mentirozo, un sarnudo es un ayudo. (Neh.)",estornudo,sneeze,"aksırık, hapşırık",Jeneral,2658,,
"limpiéza, limpyéza (f)",La limpyeza es medya rikeza.,limpieza,cleanliness,temizlik,Jeneral,2660,,
krúdo / krúda (adj.),Estos biervos krudos me shokan.,crudo / cruda,raw,çiğ,Jeneral,2662,,
ashugár (m),"Ashugar i kontado te puedo dar, la buena ventura vátela a bushkar. (Neh.)",ajuar,trousseau,çeyiz,Jeneral,2663,,
avenír (m),El ofisio de mano no tiene mas avenir.,futuro,future,"gelecek, istikbal",Jeneral,2664,,
avríl (m),,abril,April,Nisan,Jeneral,2665,,
dányo (m),No sale danyo de akavidarse.,daño,"damage, harm","hasar, zarar, ziyan",Jeneral,2666,,
debáte (m),,debate,debate,münazara,Jeneral,2667,,
desendiénte (m/f),"Para mi, un desendiente de Estambullis, la palavra es ""BISKOCHOS"".",descendiente,descendant,"soyundan gelen, oğul",Jeneral,2668,,descendant
djudéo-espanyól (m),,judeo-español,judeo-spanish,"Yahudice, Musevice",Jeneral,2669,,
editoriál (m),,editorial,editorial,"başyazı, yazımla ilgili",Jeneral,2670,,
ekspresión (f),,expresión,expression,ifade,Jeneral,2671,,
"embasadór, embashadór (m)",,embajador,ambassador,"elçi, sefir",Jeneral,2672,,
esfuégro / esfuégra (m/f),Entre la esfuegra i la ermuera deshan la kaza sin barrir. (Neh.),suegro / suegra,father / mother-in-law,"kayınpeder, kayınvalide",Jeneral,2673,,
eskritor / eskritora (m/f),,escritor / escritora,writer,yazar,Jeneral,2674,,
eskritór / eskritóra (m/f),,escritor / escritora,writer,yazar,Jeneral,2675,,
fortúna (f),La fortuna es por ken la perkura. (Neh.),fortuna,"fortune, luck","servet, şans",Jeneral,2676,,
fotó (f),,foto,photo,"resim, fotograf",Jeneral,2677,,
gána (f),Ya le vino la gana de kuzir.,gana,desire,istek,Jeneral,2678,,
halís (adj.),Es halis miel de bizba.,"puro, genuino","pure, genuine",halis,Estanbol,2679,,
idióma (m),,idioma,idiom,"dil, lehçe",Jeneral,2680,,
italiano / italiana (adj.),El italiana tambien es una lingua latina.,italiano / italiana,Italian,"Italyan, italyanca",Jeneral,2681,,
kestionário (m),Inchi un kestionario sovre el djudeo-espanyol.,cuestionario,questionnaire,soru listesi,Jeneral,2682,,
kontinuál (adj.),Ay un bruido kontinual.,continuo,continual,"sürekli, tekrar tekrar",Jeneral,2683,,
kontinúo (adj.),,continuo,continuous,"sürekli, durmadan",Jeneral,2686,,
kósta (f),,costa,"coast, shore","kıyı, sahil",Jeneral,2687,,
kóste (m),Oy estan vendiendo al koste.,coste,"cost, price","paha, eder",Jeneral,2688,,
haftoná (f),"Kuando avlo mentiras, el padre lo mato de haftona.","golpe, zurra",thrashing,dayak,Jeneral,2689,,
"abudáraho, abutargo (m)",El abudaraho se toma komo aperitivo.,hueva seca salada,dried salted fish roe,balık yumurtası,Estanbol,2690,ovas de peixe,oeufs de poisson salés secs; boutargue
aharóva (f),Me akodro de arankar aharovas i chuparlas komo chupamelas!,algarroba,carob,keçi boynuzu,Jeneral,2691,,caroube
alburníya (f),"""alburniya"" es una kumida de berendjena kon karne.",berenjena frita con tomate,fried eggplant in tomato sauce,domatesli patlıcan kızartma,Izmir,2692,,
alícha (f),Alichas fritas son muy savrozas.,pescado muy pequeño,"fish, very small","kıraça, küçük balık",Izmir,2693,,poisson très petit
avramilá (f),"El biervo avramila viene de ""Avram-mila"", del komentario de la biblia ke konta ke despues de su brit-mila, Avram Avinu se asento debasho de un arvolé, el kual era arvolé de zirguela!",ciruela verde,green plum,can eriği,Estanbol,2694,,
"luénga, aluénga (f)",Le plaze una komidika de luenga buyida kon un poko de vinagre.,luenga,tongue,dil,Izmir,2696,,
aluénga (f),"Kon las aluengas kolgando por afuera, lo miran al grego sin kreer...",luenga,tongue,dil,Estanbol,2745,,
áva fréska (f),,"habicuela, judía","broad beans, fava beans",bakla,Izmir,2700,,
"áva, avíka (f)",,judía blanca,dry beans,kuru fasulye,Izmir,2701,,
avyána (f),,avellana,hazelnut,fındık,Jeneral,2702,,
bakanyádo (m),,bacallao,cod fish,morina balığı,Izmir,2703,,
barbúnya fasúlya (f),,habichuela rosa,beans (fresh butterbeans),barbunya fasulyesi,Izmir,2704,,
barbúnya (f),,salmonete,red mullet fish,barbunya balığı,Estanbol,2706,,
bilibíz (m),,garbanzo tostado,roasted chick pea,leblebi,Izmir,2707,,
biskucháda (f),,bizcocho de pan,Zwieback,peksimet,Izmir,2708,,
bóyo (m),,bollo,savoury flaky pastry,hamur işi,Estanbol,2709,,
bóyo de ráyo (m),,bollo con queso rallado,cheese cookies,peynirli hamur işi,Izmir,2710,,
chupéta (f),"Dale la chupeta al bebe, ke no yore.",mamón,"sucker for baby, titina","emzik, titin",Izmir,2712,,
estragalákya (f),,garbanzo tostado blanco,"roasted chick pea, white",beyaz leblebi,Izmir,2713,,
fidéos (m),Vermicelle es fideo o tel fidé en muestra lingua.,fideos,vermicelli,tel şehriye,Estanbol,2714,aletria ,vermicelle
fljónes (m),,habichuella con ojo negro,fresh black-eyed beans,börülce,Izmir,2715,,
hohómbro (m),,cohombre,cucumber,"hıyar, salatalık",Izmir,2716,,
"kopéta, kofté (f)","Kuando era chiko, mi ermano me ambezo estos versos:
""Yo so una kopeta
Kon sal i pimienta,
Me dan un bezo
Me kitan la savor.""",albóndiga,"meat patty, meatball",köfte,Izmir,2717,,
haryénto (adj.),,"gusanado, putrefacto","worm-eaten, rotten","kurtlu, böcekli, çürümüş",Izmir,2718,,
kuchundúrya (f),,coliflor,cauliflower,karnıbahar,Izmir,2720,,
kuchundúrya (f),,remolacha,beets,pancar,Izmir,2721,,
"kulupíya, koliflór (f)",,coliflor,cauliflower,karnıbahar,Aki Yerushalayim,2722,,
makarón reynádo (m),Yevi a la kaza de mi ijo makaron reynado.,macarrones al horno,baked macaroni,fırında makarna,Izmir,2723,macarrão no forno,macaronis au gratin
marunchínos (m),,macarrón de almendras,almond macaroons,bademli beze,Izmir,2724,,
"mogádos, masapan (m)",,mazapán,marzipan,badem ezmesi,Izmir,2726,,
pan espondjádo (m),,bizcocho,sponge cake,pandispanya,Izmir,2727,,
pandispánya (m),,bizcocho,sponge cake,pandispanya,Jeneral,2728,,
pastéles (m),,empanadas,meat pies,etli börek,Izmir,2729,,
péshe (m),,caña (zanca),shank meat,paça eti,Izmir,2730,,
pimientón (m),,pimientón verde,"green pepper, fresh",yeşil biber,Jeneral,2731,,
pimiénta (f),,pimienta,black pepper,kara biber,Jeneral,2732,,
pitágra (f),,pasta seca de albericoque,dried apricot paste sheet,kayısı pestili,Estanbol,2733,,
prasifúchi (m),,fritada de puerro,leek pastry,pırasa kayganası,Estanbol,2734,,
"pershíl, pirshíl, prishíl (m)",,perejil,parsley,maydanoz,Jeneral,2735,,
"réshas, reshíkas (f)",,pastelitos dulces,Pretzel-shaped sweet cooky,tatlı kurabiyeler,Izmir,2736,,
tomát reynádo (m),,tomates rellenados de carne,meat-filled tomatoes,etli domates dolması,Izmir,2737,,
travádos (m),,pasta rellenada de nuez,nut-filled pastry,cevizli börek,Izmir,2738,,
trigónas (f),,"fila con nuez, triangular",walnut-filled fila triangles,cevizli muska böreği,Izmir,2739,,
tútano (m),,tuétano,marrow of bone,kemik iliği,Estanbol,2740,,
"yéma, géma (f)",,yema,yolk,yumurta sarısı,Izmir,2741,,
ningúno / ningúna (pron.),,ninguno / ninguna,none,hiçbiri,Jeneral,2747,,
no (adv.),No save dizir no.,no,"no, not","hayır, değil",Jeneral,2748,,
"oyído (m), oréja (f)","Por un oyido le entra, por el otro le sale.",oreja,ear,kulak,Jeneral,2749,,
pára (prep.),Este pan es para este kezo.,para,"for, to",için,Jeneral,2750,,
pará (f),La pará va i viene.,dinero,money,para,Estanbol,2751,,
"siérto, syérto (adv.)",No lo tomes por sierto.,cierto,certain,muhakkak,Jeneral,2752,,
"síglo, syéklo, syékolo (m)",,siglo,century,yüzyıl,Jeneral,2753,,
úno / úna (adj.),Una mano lava la otra i las dos lavan la kara.,uno / una,"one, identical","bir, biri, tıpkısı",Jeneral,2754,,
vozótros / vozótras (pron.),Vozotros lo kulpash.,vosotros,you (pl.),siz,Jeneral,2755,,
pasádo / pasáda (adj.),Aguas pasadas no mueven molino. (Neh.),pasado / pasada,past,geçmiş,Jeneral,2756,,
abashamiénto (m),Esto kon un abashamiento muy fuerte.,"resfriado, influenza, gripe","cold, flu","nezle, grip",Izmir,2757, constipacão,rhume
abashamentádo (adj.),Esto abashamentada.,con resfriado,with cold,nezleli,Aki Yerushalayim,2758,constipado,enrhumé
bárka (m),"En enverano, en las islas de Estanbol, ivamos a nadar kon barkas.",barca,boat (small),kayık,Estanbol,2759,,
véla (f),Las kolores de la vela turka son kolorado i blanko.,bandera,flag,bayrak,Izmir,2760,,
bárko (m),Mansevikos pasavan en los barkos por el bodre de la mar.,barca,"boat, small",kayık,Izmir,2761,,
tóka (f),Muestras nonas siempre metiyan una toka blanka sovre los kaveyos.,tocado de muselina,muslin scarf,tülbent,Estanbol,2783,,
tóka (f),"En Izmir, toka es un djugete ke, en kastilyano, se yama ""peón"" si tiene una punta de madero i ""peonza"" si la punta es de fierro.","peón, peonza, trompo",top (toy),topaç,Izmir,2764,,
azlahá (f),Azlaha ke te meta el Dio.,"éxito, abundancia","success, abundance","başarı, bereket",Jeneral,2765,,
"pléto, pléyto (m)","Despues de un buen pleto, una buena paz. ","disputa, riña","quarrel, dispute",kavga,Jeneral,2766,,
"enterés, enteréso (m)",Es el enteres ke lo giya.,interés,interest,"ilgi, faiz",Jeneral,2770,,
dévda (f),"Ken apromete, en devda se mete. (Neh.)",deuda,debt,borç,Jeneral,2771,,
diríto (m),"No tenemos dirito de 
dizir a dingunos ""no es djusto lo ke dizish vozotros"". 
",derecho,right,"hak, yetki",Izmir,2772,,
kúlo (m),Lavorar por un kulo de pipino.,culo,"behind, bottom, anus",kıç,Jeneral,2774,,
"feúzya, fiúzia, feguza (f)","Tener feuzya en el Dio, no en fijo de ombre. (Neh.)",confianza,"trust, faith","inanç,güven, itikat",Otros,2776,,
